ticker,entry_date,exit_date,entry_px,exit_px,ret,hold_days
SPY,2015-03-10,2015-03-18,171.19215393066406,175.7689208984375,0.02673467716065492,8
SPY,2015-05-06,2015-05-08,174.52342224121094,177.52664184570312,0.017208117775397547,2
SPY,2015-06-05,2015-06-11,175.97470092773438,177.53500366210938,0.008866630976777534,6
SPY,2015-06-29,2015-07-13,173.16368103027344,176.83070373535156,0.02117662712677637,14
SPY,2015-08-20,2015-08-21,171.94142150878906,166.76551818847656,-0.03010271332465353,1
SPY,2015-09-28,2015-10-02,159.31149291992188,165.23451232910156,0.037178858226863065,4
SPY,2015-11-13,2015-11-18,171.6235809326172,176.86874389648438,0.03056201796608904,5
SPY,2015-12-11,2015-12-16,171.0643310546875,176.2755584716797,0.030463553593333303,5
SPY,2015-12-18,2015-12-23,170.49697875976562,175.61135864257812,0.02999689449053977,5
SPY,2016-01-06,2016-01-07,169.4740753173828,165.4081573486328,-0.023991386063830444,1
SPY,2016-02-08,2016-02-16,158.05189514160156,161.7683563232422,0.023514182973326525,8
SPY,2016-05-13,2016-05-24,175.43748474121094,178.1021728515625,0.015188818480168287,11
SPY,2016-06-24,2016-06-30,175.04075622558594,180.4149169921875,0.030702339743525542,6
SPY,2016-09-09,2016-09-21,183.6876983642578,186.814208984375,0.017020794794419203,12
SPY,2016-10-13,2016-10-24,184.38192749023438,186.00921630859375,0.008825641647799642,11
SPY,2016-11-01,2016-11-07,182.65069580078125,184.5030517578125,0.010141521492212924,6
SPY,2017-03-21,2017-03-30,204.39498901367188,206.6337432861328,0.010953078073314249,9
SPY,2017-04-13,2017-04-20,203.32810974121094,205.8029327392578,0.012171573331384078,7
SPY,2017-05-17,2017-05-22,206.22268676757812,209.45831298828125,0.015689962493553367,5
SPY,2017-06-27,2017-06-28,212.0702667236328,213.96839904785156,0.008950487748913716,1
SPY,2017-06-29,2017-07-05,212.08792114257812,213.33572387695312,0.005883421967892932,6
SPY,2017-07-06,2017-07-12,211.38487243652344,214.42535400390625,0.014383628933976045,6
SPY,2017-08-10,2017-08-16,214.20571899414062,217.0001220703125,0.013045417691430972,6
SPY,2017-08-17,2017-08-30,213.61691284179688,216.182861328125,0.012011916342169249,13
SPY,2018-02-05,2018-02-08,234.27261352539062,228.68052673339844,-0.023869997896216355,3
SPY,2018-03-22,2018-03-23,234.97918701171875,229.97073364257812,-0.021314455262332888,1
SPY,2018-06-27,2018-07-06,241.11892700195312,246.55279541015625,0.02253605088479471,9
SPY,2018-10-09,2018-10-10,258.4418029785156,250.25869750976562,-0.031663242457065865,1
SPY,2018-11-20,2018-11-28,237.5074005126953,246.91346740722656,0.039603258147859144,8
SPY,2018-12-07,2018-12-17,237.0128631591797,229.63009643554688,-0.031149223823664363,10
SPY,2019-05-08,2019-05-13,261.2141418457031,255.1545867919922,-0.023197653124348294,5
SPY,2019-08-01,2019-08-05,269.1578063964844,259.0977478027344,-0.03737606101207025,4
SPY,2019-10-01,2019-10-11,268.9333801269531,271.7214050292969,0.010366972300082766,10
SPY,2020-01-31,2020-02-04,296.5125427246094,303.2680358886719,0.022783161555282927,4
SPY,2020-02-24,2020-02-25,297.14849853515625,288.1442565917969,-0.03030216200905378,1
SPY,2020-06-26,2020-07-01,279.38201904296875,289.1307678222656,0.03489397353735035,5
SPY,2020-09-21,2020-09-30,305.6663818359375,313.0704650878906,0.02422275949184094,9
SPY,2020-10-28,2020-11-04,305.3765869140625,321.1567687988281,0.05167449818019754,7
SPY,2021-01-29,2021-02-02,347.4330139160156,358.2106628417969,0.03102079679850611,4
SPY,2021-03-03,2021-03-10,358.0886535644531,365.7494812011719,0.021393662045591455,7
SPY,2021-05-12,2021-05-14,381.85784912109375,392.3788146972656,0.027552047444847627,2
SPY,2021-06-18,2021-06-21,392.09393310546875,397.7071533203125,0.014316008846109396,3
SPY,2021-09-17,2021-09-30,418.4533996582031,406.8308410644531,-0.02777503684578364,13
SPY,2021-11-26,2021-12-07,435.11004638671875,443.93609619140625,0.020284638054169468,11
SPY,2022-01-18,2022-01-20,434.279296875,425.0133056640625,-0.021336479260268715,2
SPY,2022-02-22,2022-03-07,408.669189453125,399.0225524902344,-0.023605001825069305,13
SPY,2022-04-14,2022-04-22,417.7831115722656,406.5700988769531,-0.026839315388106466,8
SPY,2022-06-13,2022-06-16,357.8625793457031,349.8941650390625,-0.022266687735861157,3
SPY,2022-08-26,2022-08-31,388.4582214355469,378.7493591308594,-0.024993324298320685,5
SPY,2022-09-21,2022-09-23,363.184814453125,354.1001892089844,-0.02501378053986103,2
SPY,2022-12-15,2022-12-19,374.9641418457031,367.39520263671875,-0.020185768088989642,4
SPY,2023-02-21,2023-03-10,385.8317565917969,373.0895690917969,-0.033025242951893685,17
SPY,2023-05-04,2023-05-05,393.1658630371094,400.4443664550781,0.018512551831799673,1
SPY,2023-08-09,2023-08-17,434.1931457519531,424.97845458984375,-0.021222562475395557,8
SPY,2023-09-21,2023-10-03,421.6877136230469,412.10809326171875,-0.022717333353211022,12
SPY,2023-10-20,2023-10-26,411.71710205078125,403.2713928222656,-0.02051337966396627,6
SPY,2024-04-12,2024-04-17,502.9430236816406,492.80242919921875,-0.020162511467384014,5
SPY,2024-07-24,2024-08-05,534.57177734375,511.0152587890625,-0.04406614706024736,12
SPY,2024-10-31,2024-11-06,563.3673706054688,585.5596313476562,0.03939216557454639,6
SPY,2024-12-18,2024-12-24,580.8438720703125,597.7294921875,0.02907084145865535,6
SPY,2024-12-30,2025-01-15,584.7271728515625,589.2601318359375,0.00775226326881473,16
SPY,2025-02-24,2025-02-27,593.663818359375,581.5759887695312,-0.02036140525331187,3
SPY,2025-04-03,2025-04-04,535.1180419921875,503.7906494140625,-0.058542957104373516,1
