fast,slow,sharpe,cagr,max_dd
5,20,0.9847072686256533,,-0.1655786278592699
5,50,0.57211334880154,,-0.1549528612224088
5,100,0.7191940332417731,,-0.12571421737711697
5,150,0.4359813034877156,,-0.1312926424763714
5,200,0.3627765881898384,,-0.10627180947139392
5,250,0.09039823249431521,,-0.14899974151149487
10,20,0.3332995253410248,,-0.1769725377825062
10,50,0.9585906839375875,,-0.09734390525337866
10,100,0.5747473324638773,,-0.10865408107888097
10,150,-0.16092303148926831,,-0.19115213753192062
10,200,0.5425830780525625,,-0.07762281618853806
10,250,0.3974187314474383,,-0.07440681084539869
20,50,0.16733101151146068,,-0.2703251859233966
20,100,0.3142109557281224,,-0.13395109755310963
20,150,-0.03672201479675162,,-0.1463771180512936
20,200,0.02855791009290174,,-0.11314222533347162
20,250,-0.11832106926343808,,-0.11831038732838084
50,100,0.1922919747636044,,-0.09559452588904493
50,150,0.6577757840045833,,-0.12026111027827258
50,200,0.06418136105907823,,-0.08593806824130112
50,250,0.019037608642367573,,-0.06925873001149907
100,150,-0.2154516583664237,,-0.10569047450138147
100,200,-0.4791789848115103,,-0.1319135044129779
100,250,0.17891236619701492,,-0.07994732398035631
